ROUTE A (tail quad) vs ROUTE B (Xi - head quad)   [dps=50]
 alpha   j                E_j route A                E_j route B     rel diff
--------------------------------------------------------------------------------
   1.0   1    -0.00733479431450215547    -0.00733479431450215547    6.263e-50
   1.0   4     0.00210236530782299843     0.00210236530782299843    4.469e-50
   1.0  10    0.000367113501482473844    0.000367113501482473844    1.866e-49
   1.0  25  -0.0000593633493587813686  -0.0000593633493587813686    5.821e-47
   1.0  40   0.0000232162692748832312   0.0000232162692748832312    5.288e-49
   0.7  10   0.0000332706034962535607   0.0000332706034962535607    1.581e-48
   0.7  40     2.42115804356158079e-6     2.42115804356158079e-6    4.223e-46
   0.5  10      8.5275873279230515e-9      8.5275873279230515e-9    9.426e-45
   0.5  40     1.33163322589574555e-9     1.33163322589574555e-9    4.322e-44
   0.4  10    6.13310407127263608e-15    6.13310407127263608e-15    1.504e-38
   0.4  40    2.40696996585565118e-15    2.40696996585565118e-15    1.138e-38

PRECISION ROBUSTNESS: dps=50/maxdeg=6  vs  dps=90/maxdeg=9
 alpha   j     rel diff
--------------------------
   1.0   1    3.471e-52
   1.0   4     5.82e-51
   1.0  10    7.985e-52
   1.0  25    5.851e-47
   1.0  40     3.48e-50
   0.7  10    5.861e-50
   0.7  40    4.073e-46
   0.5  10    8.364e-50
   0.5  40    2.075e-47
   0.4  10    1.149e-47
   0.4  40    2.188e-42
