N=4 N3*gap=0.149819779361891392 ratio=0.802798100825
N=5 N3*gap=0.151915440683297875 ratio=0.814027545535
N=6 N3*gap=0.154815764663829292 ratio=0.82956871502
N=8 N3*gap=0.160053380781278065 ratio=0.857634089898
N=10 N3*gap=0.16404989770379963 ratio=0.879049127412
N=12 N3*gap=0.167073216605857056 ratio=0.895249356001
N=14 N3*gap=0.169410473024210084 ratio=0.907773369998
N=16 N3*gap=0.171261499191587063 ratio=0.917691955502
N=18 N3*gap=0.172759722978950592 ratio=0.925720075795
N=20 N3*gap=0.173995385058134389 ratio=0.932341278781
N=24 N3*gap=0.175911014177943182 ratio=0.942606034382
N=30 N3*gap=0.177901619972929327 ratio=0.953272546898
N=40 N3*gap=0.179967644788141762 ratio=0.964343186602
