C3 provisional summary
R=2.0 a=4.50: absmax=7.087467e-01 min=-6.637082e-01
R=2.0 a=5.00: absmax=2.306547e+00 min=-2.306547e+00
R=2.0 a=5.50: absmax=7.175447e-01 min=-7.175447e-01
R=2.0 a=6.00: absmax=1.042066e+02 min=-1.042066e+02
R=2.0 a=6.50: absmax=1.505578e+02 min=-1.251716e+02
R=2.5 a=5.50: absmax=4.475357e-01 min=-4.475357e-01
R=2.5 a=6.00: absmax=6.934136e+01 min=-6.934136e+01
R=2.5 a=6.50: absmax=1.554797e+02 min=-1.554797e+02
R=2.5 a=7.00: absmax=2.509021e+02 min=-1.744574e+02
R=2.5 a=7.50: absmax=2.377348e+02 min=-9.572602e+01
R=3.0 a=6.50: absmax=1.770254e+02 min=-1.770254e+02
R=3.0 a=7.00: absmax=2.469653e+02 min=-1.768349e+02
R=3.0 a=7.50: absmax=3.407408e+02 min=-1.888886e+02
R=3.0 a=8.00: absmax=2.385323e+02 min=-7.412934e+01
R=3.0 a=8.50: absmax=3.484130e-02 min=-1.558646e-16
R=3.5 a=7.50: absmax=3.554859e+02 min=-2.370198e+02
R=3.5 a=8.00: absmax=3.861118e+02 min=-1.882024e+02
R=3.5 a=8.50: absmax=2.287359e+02 min=-1.941587e+01
R=3.5 a=9.00: absmax=8.857445e-03 min=-3.011214e-17
R=3.5 a=9.50: absmax=8.652314e-28 min=-8.652314e-28
R=4.0 a=8.50: absmax=4.059760e+02 min=-1.844647e+02
R=4.0 a=9.00: absmax=2.029520e+02 min=-2.735299e+00
R=4.0 a=9.50: absmax=2.503034e-03 min=-1.966813e-17
R=4.0 a=10.00: absmax=3.768597e-28 min=-3.768597e-28
R=4.0 a=10.50: absmax=6.213367e-28 min=-6.213367e-28
R=5.0 a=10.50: absmax=2.488202e-04 min=-9.960170e-19
R=5.0 a=11.00: absmax=7.547599e-28 min=-7.547599e-28
R=5.0 a=11.50: absmax=1.244389e-27 min=-1.244389e-27
R=5.0 a=12.00: absmax=2.051650e-27 min=-2.051650e-27
R=5.0 a=12.50: absmax=3.382599e-27 min=-3.382599e-27
R=2.0: looks growing ratio=212.42826462961537
R=2.5: looks growing ratio=531.2085745323606
R=3.0: looks shrinking ratio=0.0001968152368640106
R=3.5: looks shrinking ratio=2.4339397283772253e-30
R=4.0: looks shrinking ratio=1.5304763545423877e-30
R=5.0: looks shrinking ratio=1.359455363681886e-23
sha256=4cd7ed7feb4253c2b127f6533a2b80f6ccd381335db2da9d0f68b0b9b74a6e41
