C5 provisional summary
notches=0: absmax=2.456285e-02 rms=8.606278e-03 cost=0.0000
notches=1: absmax=1.697446e-02 rms=4.914145e-03 cost=0.4445
notches=2: absmax=1.331826e-02 rms=3.715268e-03 cost=0.7434
notches=3: absmax=1.021242e-02 rms=2.956925e-03 cost=0.9946
notches=4: absmax=8.428904e-03 rms=2.547572e-03 cost=1.2011
notches=5: absmax=6.742620e-03 rms=2.190315e-03 cost=1.3919
notches=6: absmax=6.554052e-03 rms=1.952114e-03 cost=1.5591
notches=7: absmax=6.367496e-03 rms=1.762474e-03 cost=1.7126
notches=8: absmax=5.318307e-03 rms=1.596437e-03 cost=1.8577
notches=9: absmax=5.257943e-03 rms=1.471291e-03 cost=1.9885
notches=10: absmax=4.471219e-03 rms=1.353132e-03 cost=2.1148
notches=11: absmax=4.550042e-03 rms=1.256084e-03 cost=2.2334
notches=12: absmax=3.935085e-03 rms=1.175494e-03 cost=2.3447
notches=13: absmax=3.613233e-03 rms=1.107093e-03 cost=2.4506
notches=14: absmax=3.860795e-03 rms=1.038299e-03 cost=2.5539
notches=15: absmax=3.672111e-03 rms=9.844153e-04 cost=2.6504
notches=16: absmax=3.331634e-03 rms=9.333068e-04 cost=2.7440
notches=17: absmax=3.075116e-03 rms=8.882385e-04 cost=2.8344
notches=18: absmax=2.821287e-03 rms=8.458645e-04 cost=2.9216
notches=19: absmax=2.964496e-03 rms=8.080252e-04 cost=3.0046
notches=20: absmax=2.628703e-03 rms=7.727579e-04 cost=3.0860
sha256=87fae528477fa2095019e830f82dcb4aeef531013a39d3cd56c13722bfb74b92
