sequence	command	exit_code	started_utc	finished_utc	log
00_preflight	preflight 	0	2026-08-27T00:47:05Z	2026-08-27T00:47:06Z	00_preflight.log
01_rematerialize_c_lock_lf	rematerialize_locked_source_lf 	0	2026-08-27T00:47:06Z	2026-08-27T00:47:06Z	01_rematerialize_c_lock_lf.log
02_axiom_parser_regression	/c/Users/gideo/.cache/codex-runtimes/codex-primary-runtime/dependencies/python/python.exe /c/riemann-pass3/combined/formal/scripts/test_audit_axiom_output.py -v 	0	2026-08-27T00:47:06Z	2026-08-27T00:47:07Z	02_axiom_parser_regression.log
03_dependency_sidecar_equality	verify_dependency_sidecars 	0	2026-08-27T00:47:07Z	2026-08-27T00:47:07Z	03_dependency_sidecar_equality.log
04_cache_get	lake -Kjobs=1 exe cache get 	0	2026-08-27T00:47:08Z	2026-08-27T00:47:33Z	04_cache_get.log
05_recover_zeta_hypotheses	lake -Kjobs=1 build @Zeta23/+Zeta23.Hypotheses 	0	2026-08-27T00:47:33Z	2026-08-27T00:47:36Z	05_recover_zeta_hypotheses.log
06_recover_zeta_gamma_facts	lake -Kjobs=1 build @Zeta23/+Zeta23.GammaFacts 	0	2026-08-27T00:47:36Z	2026-08-27T00:47:39Z	06_recover_zeta_gamma_facts.log
07_recover_zeta_defs_counting	lake -Kjobs=1 build @Zeta23/+Zeta23.Defs.Counting 	0	2026-08-27T00:47:39Z	2026-08-27T00:47:43Z	07_recover_zeta_defs_counting.log
08_recover_zeta_strong_pnt_prefix	lake -Kjobs=1 build @Zeta23/+Zeta23.FromPNTPlus.StrongPNTPrefix 	0	2026-08-27T00:47:43Z	2026-08-27T00:47:46Z	08_recover_zeta_strong_pnt_prefix.log
09_lake_build	lake -Kjobs=1 build 	0	2026-08-27T00:47:46Z	2026-08-27T00:47:53Z	09_lake_build.log
10_generate_registry	/c/Users/gideo/.cache/codex-runtimes/codex-primary-runtime/dependencies/python/python.exe scripts/generate_registry.py 	0	2026-08-27T00:47:53Z	2026-08-27T00:47:53Z	10_generate_registry.log
11_validate_registry	/c/Users/gideo/.cache/codex-runtimes/codex-primary-runtime/dependencies/python/python.exe scripts/validate_registry.py 	0	2026-08-27T00:47:53Z	2026-08-27T00:47:53Z	11_validate_registry.log
12_verify_source_locks	/c/Users/gideo/.cache/codex-runtimes/codex-primary-runtime/dependencies/python/python.exe scripts/verify_source_locks.py 	0	2026-08-27T00:47:53Z	2026-08-27T00:47:53Z	12_verify_source_locks.log
13_validate_blueprint	/c/Users/gideo/.cache/codex-runtimes/codex-primary-runtime/dependencies/python/python.exe scripts/validate_blueprint.py 	0	2026-08-27T00:47:53Z	2026-08-27T00:47:54Z	13_validate_blueprint.log
14_check_no_sorry	bash scripts/check_no_sorry.sh 	0	2026-08-27T00:47:54Z	2026-08-27T00:56:36Z	14_check_no_sorry.log
15_check_axioms	bash scripts/check_axioms.sh 	0	2026-08-27T00:56:36Z	2026-08-27T00:59:49Z	15_check_axioms.log
16_build_comparator_aggregates	bash scripts/build_local_comparators.sh 	0	2026-08-27T00:59:49Z	2026-08-27T00:59:55Z	16_build_comparator_aggregates.log
17_build_a_comparator_smoke	lake -Kjobs=1 build RiemannFormal.Analysis.ComparatorSmoke 	0	2026-08-27T00:59:55Z	2026-08-27T01:00:07Z	17_build_a_comparator_smoke.log
20_challenge_deps_ArithmeticRows23	lake -Kjobs=1 build RiemannComparatorChallengeDeps.ArithmeticRows23 	0	2026-08-27T01:00:07Z	2026-08-27T01:00:10Z	20_challenge_deps_ArithmeticRows23.log
