[08:26:48] re-enumerated: 3801 spectra; extracted 20 targets
[08:26:48] idx 41: pos=0 neg=1 girth=3 neg_only
[08:26:48] idx 107: pos=0 neg=1 girth=3 neg_only
[08:26:49] idx 640: pos=0 neg=1 girth=3 neg_only
[08:26:49] idx 706: pos=1 neg=0 girth=3 pos_only
[08:26:49] idx 707: pos=1 neg=1 girth=3 both
[08:26:49] idx 708: pos=1 neg=0 girth=3 WITNESS
[08:26:49] idx 709: pos=1 neg=0 girth=3 WITNESS
[08:26:49] idx 1288: pos=0 neg=1 girth=3 neg_only
[08:26:50] idx 1608: pos=0 neg=1 girth=3 neg_only
[08:26:50] idx 1928: pos=0 neg=1 girth=3 neg_only
[08:26:50] idx 1940: pos=0 neg=1 girth=3 neg_only
[08:26:50] idx 2310: pos=0 neg=1 girth=3 neg_only
[08:26:51] idx 2509: pos=0 neg=1 girth=3 neg_only
[08:26:51] idx 3093: pos=0 neg=1 girth=4 neg_only
[08:26:51] idx 3268: pos=0 neg=1 girth=4 neg_only
[08:26:51] idx 3278: pos=0 neg=1 girth=4 neg_only
[08:26:51] idx 3280: pos=0 neg=1 girth=4 neg_only
[08:26:52] idx 3301: pos=0 neg=1 girth=4 neg_only
[08:26:52] idx 3337: pos=0 neg=1 girth=4 neg_only
[08:26:52] idx 3355: pos=0 neg=1 girth=4 neg_only
[08:26:52] done; flagged tally {'neg_only': 16, 'pos_only': 1, 'both': 1}
