q=7; quadratic characters mod irreducible Q of degree d; detector D(n)=sum_{deg f<=n} mu(f)chi(f) q^{-deg f/2}
Weil RH holds for all rows.  A = main term 1/L(q^{-1/2},chi); amp = sum |B_j| over unit-circle poles;
min/max over 50<=n<=20000; neg = number of n in that range with D(n)<0
  d Q(low->high)   L(u,chi) coeffs          |alpha_j| (sqrt q=2.6458)          A       amp     min D     max D    neg
  2 101            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 131            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 141            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 201            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 221            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 251            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 311            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 321            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 351            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 361            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 401            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 411            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 461            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 521            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 531            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 541            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 551            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 611            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 631            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 641            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  2 661            [1, -1]                  [1.0]                         1.6076    0.0000    1.6076    1.6076      0
  3 1011           [1, -3, 7]               [2.645751, 2.645751]          1.1546    1.3044   -0.1498    2.4590   3074
