T0=10000: theta asymptotic 31861.9238308358 vs mpmath 31861.9238308358
mesh points per offset: 600; delta = mesh phase (theta mod pi); delta=0 Gram points; delta=1/2 zeros of the leading RS term
 delta/pi      eff      V/M minU/(M+1)
   0.0000    0.801    0.199     0.103
   0.0625    0.800    0.200     0.107
   0.1250    0.800    0.200     0.112
   0.1875    0.746    0.254     0.157
   0.2500    0.693    0.307     0.207
   0.3125    0.631    0.369     0.283
   0.3750    0.621    0.379     0.350
   0.4375    0.568    0.432     0.427
   0.5000    0.548    0.452     0.487
   0.5625    0.561    0.439     0.417
   0.6250    0.591    0.409     0.353
   0.6875    0.644    0.356     0.267
   0.7500    0.699    0.301     0.208
   0.8125    0.743    0.257     0.162
   0.8750    0.770    0.230     0.132
   0.9375    0.796    0.204     0.110
