# n gamma re_zetaprime im_zetaprime
1 14.134725142 7.832965119280e-01 1.246998295852e-01
2 21.022039639 1.109295563367e+00 -2.487297888165e-01
3 25.010857580 1.295795604869e+00 4.500367096816e-01
4 30.424876126 1.120130845025e+00 -6.675094695550e-01
5 32.935061588 1.160570067979e+00 7.505541499453e-01
6 37.586178159 1.853466249744e+00 -5.610044210542e-01
7 40.918719012 1.459517334805e+00 -3.028689350530e-01
8 43.327073281 1.464087574401e+00 1.103725792437e+00
9 48.005150881 1.033929799028e+00 -1.178860415814e+00
10 49.773832478 1.260893647494e+00 6.507810245197e-01
11 52.970321478 2.344970633180e+00 6.240181910011e-01
12 56.446247697 2.216808538044e+00 -8.323915756525e-01
13 59.347044003 1.260151511716e+00 -5.908815796976e-01
14 60.831778525 8.559365056448e-01 1.415478352684e+00
15 65.112544048 1.651582076135e+00 -1.583101217055e+00
16 67.079810529 1.780076075186e+00 1.117372362747e-01
17 69.546401711 2.112017941894e+00 5.650982908521e-01
18 72.067157674 2.784420396165e+00 1.017577913891e+00
19 75.704690699 9.757569746370e-01 -1.488192819339e+00
20 77.144840069 1.368121181963e+00 5.026677181909e-01
21 79.337375020 1.967367639371e+00 1.757244497452e+00
22 82.910380854 2.010391919801e+00 -1.690795382596e+00
23 84.735492981 2.155193106701e+00 1.686131851230e-01
24 87.425274613 1.719820883452e+00 -5.327409459151e-01
25 88.809111208 1.150191364168e+00 1.847712467551e+00
26 92.491899271 2.179850144432e+00 -2.068521087049e+00
27 94.651344041 1.273628441675e+00 -7.526628790618e-01
28 95.870634228 9.845839239065e-01 1.377947423929e+00
29 98.831194218 3.513562437029e+00 1.244874160886e-01
30 101.317851006 3.044910496781e+00 -8.248149188449e-01
31 103.725538040 1.918186045422e+00 -1.009082866895e+00
32 105.446623052 1.821148262249e+00 4.405862795312e-01
33 107.168611184 1.750153704448e+00 2.415005441005e+00
34 111.029535543 2.312977761352e-01 -1.573941412922e+00
35 111.874659177 1.193515578866e+00 6.544096580023e-01
36 114.320220915 2.531203643895e+00 2.766619768845e-01
37 116.226680321 2.770679407593e+00 1.432317689529e+00
38 118.790782866 3.851762238209e+00 -5.267766040731e-01
39 121.370125002 1.600224224591e+00 -1.645001470279e+00
40 122.946829294 1.559138508348e+00 4.702040167253e-03
41 124.256818554 8.537247659229e-01 2.152838883021e+00
42 127.516683880 3.355890306622e+00 -2.061342970253e+00
43 129.578704200 2.032664682018e+00 -1.167195023671e+00
44 131.087688531 2.192547095035e+00 7.572969433478e-01
45 133.497737203 2.244674435858e+00 -4.496414553545e-01
46 134.756509753 1.480830851603e+00 2.397004099638e+00
47 138.116042055 1.677231531687e+00 -2.677900089310e+00
48 139.736208952 1.674508343207e+00 -6.643933856961e-01
49 141.123707404 1.655883766847e+00 1.153676119378e+00
50 143.111845808 2.985490707746e+00 2.268816649003e+00
51 146.000982487 2.401977260904e+00 -2.186227669239e+00
52 147.422765343 2.779644644968e+00 4.584418490238e-01
53 150.053520421 1.060497402091e+00 -1.224858056604e+00
54 150.925257612 9.834288718549e-01 1.239466924904e+00
55 153.024693811 3.251408547936e+00 2.724454523307e+00
56 156.112909294 1.386684948656e+00 -2.767797311583e+00
57 157.597591818 1.635533261531e+00 -6.029360587401e-01
58 158.849988171 1.535963619769e+00 1.484039069530e+00
59 161.188964138 3.563270689284e+00 4.429998662602e-01
